year,date,stodnr,hvalnr,kyn,kj,longd,kl
2011,09/02/2011,2011001,11001,f,1,419,1
2011,09/02/2011,2011001,11002,f,1,412,1
2011,09/02/2011,2011001,11003,f,1,NA,1
2011,09/02/2011,2011001,11004,f,1,430,1
2011,09/02/2011,2011001,11005,f,1,405,1
2011,09/02/2011,2011001,11006,m,1,369,1
2011,09/02/2011,2011001,11007,f,1,414,1
2011,09/02/2011,2011001,11008,f,1,447,1
2011,09/02/2011,2011001,11009,m,1,526,1
2011,09/02/2011,2011001,11010,f,1,387,1
2011,09/02/2011,2011001,11011,f,1,420,1
2011,09/02/2011,2011001,11013,m,1,220,1
2011,09/02/2011,2011001,11015,f,1,269,1
2011,09/02/2011,2011001,11019,f,1,434,1
2011,09/02/2011,2011001,11020,m,1,437,1
2011,07/04/2011,2011002,11021,f,1,429,1
2011,07/04/2011,2011002,11022,f,1,420,1
2011,07/04/2011,2011002,11023,f,1,298,1
2011,07/04/2011,2011002,11024,f,1,428,1
2011,07/04/2011,2011002,11025,f,1,440,1
2011,07/04/2011,2011002,11026,f,1,391,1
2011,07/04/2011,2011002,11027,m,1,324,1
2011,07/04/2011,2011002,11028,f,1,416,1
2011,07/04/2011,2011002,11029,f,1,304,1
2011,07/04/2011,2011002,11030,f,1,421,1
2011,02/09/2011,2011004,11041,m,1,414,1
2011,02/09/2011,2011004,11042,f,1,432,1
2011,02/09/2011,2011004,11043,f,1,440,1
2011,02/09/2011,2011004,11044,f,1,425,1
2011,02/09/2011,2011004,11045,f,1,373,1
2011,02/09/2011,2011004,11046,f,1,377,1
2011,02/09/2011,2011004,11047,m,1,528,1
2011,02/09/2011,2011004,11048,f,1,417,1
2011,02/09/2011,2011004,11049,m,1,450,1
2011,02/09/2011,2011004,11050,f,1,353,1
2011,08/09/2011,2011005,11051,f,1,438,1
2011,08/09/2011,2011005,11052,m,1,463,1
2011,08/09/2011,2011005,11053,m,1,444,1
2011,08/09/2011,2011005,11054,f,1,424,1
2011,08/09/2011,2011005,11055,f,1,392,1
2011,08/09/2011,2011005,11056,m,1,533,1
2011,08/09/2011,2011005,11057,m,1,291,1
2011,08/09/2011,2011005,11058,m,1,473,1
2011,08/09/2011,2011005,11059,f,1,431,1
2011,08/09/2011,2011005,11060,f,1,459,1
2011,13/11/2011,2011006,11061,m,1,343,1
2011,13/11/2011,2011006,11062,m,1,338,1
2011,13/11/2011,2011006,11063,f,1,419,1
2011,13/11/2011,2011006,11064,f,1,354,1
2011,13/11/2011,2011006,11065,m,1,453,1
2011,13/11/2011,2011006,11066,m,1,433,1
2011,13/11/2011,2011006,11067,f,1,425,1
2011,13/11/2011,2011006,11068,m,1,436,1
2011,13/11/2011,2011006,11069,f,1,317,1
2011,13/11/2011,2011006,11070,f,1,407,1
2011,18/11/2011,2011007,11071,f,1,410,1
2011,18/11/2011,2011007,11072,f,1,271,1
2011,18/11/2011,2011007,11073,f,1,261,1
2011,18/11/2011,2011007,11074,f,1,275,1
2011,18/11/2011,2011007,11075,m,1,307,1
2011,18/11/2011,2011007,11076,m,1,415,1
2011,18/11/2011,2011007,11077,f,1,430,1
2011,18/11/2011,2011007,11078,f,1,436,1
2011,18/11/2011,2011007,11079,f,1,430,1
2011,18/11/2011,2011007,11080,f,1,430,1
2011,22/11/2011,2011009,11081,f,1,432,1
2011,22/11/2011,2011009,11082,f,1,443,1
2011,22/11/2011,2011009,11083,f,1,435,1
2011,22/11/2011,2011009,11084,m,1,446,1
2011,22/11/2011,2011009,11085,f,1,406,1
2011,22/11/2011,2011009,11086,f,1,430,1
2011,22/11/2011,2011009,11087,f,1,419,1
2011,22/11/2011,2011009,11088,f,1,421,1
2011,22/11/2011,2011009,11089,m,1,508,1
2011,22/11/2011,2011009,11090,f,1,410,1
2012,10/07/2012,2012003,12001,f,1,375,1
2012,10/07/2012,2012003,12002,m,1,356,1
2012,10/07/2012,2012003,12003,f,1,372,1
2012,10/07/2012,2012003,12004,f,1,404,1
2012,10/07/2012,2012003,12005,f,1,404,1
2012,10/07/2012,2012003,12006,f,1,306,1
2012,10/07/2012,2012003,12007,f,1,308,1
2012,10/07/2012,2012003,12008,f,1,439,1
2012,10/07/2012,2012003,12009,f,1,371,1
2012,10/07/2012,2012003,12010,f,1,258,1
2012,19/08/2012,2012006,12011,f,1,440,1
2012,19/08/2012,2012006,12012,m,1,500,1
2012,19/08/2012,2012006,12013,f,1,493,1
2012,19/08/2012,2012006,12014,m,1,437,1
2012,19/08/2012,2012006,12015,f,1,458,1
2012,19/08/2012,2012006,12016,m,1,519,1
2012,19/08/2012,2012006,12017,f,1,376,1
2012,19/08/2012,2012006,12018,f,1,404,1
2012,19/08/2012,2012006,12019,f,1,398,1
2012,19/08/2012,2012006,12020,m,1,519,1
2012,23/09/2012,2012010,12021,m,1,397,1
2012,23/09/2012,2012010,12022,f,1,328,1
2012,23/09/2012,2012010,12023,f,1,340,1
2012,23/09/2012,2012010,12024,f,1,334,1
2012,23/09/2012,2012010,12025,f,1,390,1
2012,23/09/2012,2012010,12026,f,1,350,1
2012,23/09/2012,2012010,12027,m,1,473,1
2012,23/09/2012,2012010,12028,m,1,495,1
2012,23/09/2012,2012010,12029,f,1,329,1
2012,23/09/2012,2012010,12030,f,1,423,1
2013,21/07/2013,2013001,13001,f,1,385,1
