DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
233997,233997,UT,20:46:59 03-Sep-2022,Argos,A,62.4604,-7.0786,,,,,,,,,,
233997,233997,UT,21:00:57 03-Sep-2022,Argos,B,62.5710,-6.4880,,,,,,,,,,
233997,233997,UT,21:57:22 03-Sep-2022,Argos,B,62.5779,-6.4805,,,,,,,,,,
233997,233997,UT,22:25:08 03-Sep-2022,Argos,A,62.6634,-6.4080,1836,10647,316,114,,,,,,
233997,233997,UT,18:13:35 04-Sep-2022,Argos,B,62.6873,-6.4485,14009,26990,7271,99,,,,,,
233997,233997,UT,18:18:56 04-Sep-2022,Argos,A,62.9680,-6.8309,2298,19415,271,84,,,,,,
233997,233997,UT,18:49:00 04-Sep-2022,Argos,A,62.9772,-6.8379,4202,101781,173,79,,,,,,
233997,233997,UT,18:49:40 04-Sep-2022,Argos,B,62.9725,-6.8539,5989,10883,3296,76,,,,,,
233997,233997,UT,18:50:07 04-Sep-2022,Argos,B,62.9736,-6.8574,1007,2973,341,53,,,,,,
233997,233997,UT,20:01:37 04-Sep-2022,Argos,A,62.9819,-6.9284,173,295,100,109,,,,,,
233997,233997,UT,20:16:28 04-Sep-2022,Argos,B,62.9820,-6.9272,554,1184,259,90,,,,,,
233997,233997,UT,20:23:14 04-Sep-2022,Argos,1,62.9472,-6.8987,1033,2307,461,88,,,,,,
233997,233997,UT,20:23:57 04-Sep-2022,Argos,2,62.9561,-6.8697,306,1811,51,82,,,,,,
233997,233997,UT,20:30:34 04-Sep-2022,Argos,3,62.9430,-6.8786,215,506,91,112,,,,,,
233997,233997,UT,21:32:18 04-Sep-2022,Argos,B,62.9480,-6.9060,2286,5032,1038,90,,,,,,
233997,233997,UT,21:44:51 04-Sep-2022,Argos,B,62.9476,-6.9005,2479,6524,942,95,,,,,,
233997,233997,UT,22:06:05 04-Sep-2022,Argos,3,62.9763,-6.9634,193,1211,30,80,,,,,,
233997,233997,UT,22:07:59 04-Sep-2022,Argos,B,62.9844,-6.9439,1853,5428,632,86,,,,,,
233997,233997,UT,22:08:33 04-Sep-2022,Argos,1,62.9629,-6.9595,1450,3485,603,78,,,,,,
233997,233997,UT,09:50:24 05-Sep-2022,Argos,B,62.9951,-6.9201,21807,104200,4563,102,,,,,,
233997,233997,UT,19:36:15 05-Sep-2022,Argos,B,62.8974,-6.5468,14610,962406,221,72,,,,,,
233997,233997,UT,19:46:31 05-Sep-2022,Argos,1,63.0489,-6.0460,1016,2902,355,86,,,,,,
233997,233997,UT,19:57:47 05-Sep-2022,Argos,A,63.0734,-6.0606,2401,19921,289,87,,,,,,
233997,233997,UT,19:58:52 05-Sep-2022,Argos,A,63.0751,-5.9592,547,1285,232,107,,,,,,
233997,233997,UT,20:03:05 05-Sep-2022,Argos,3,63.0731,-5.9537,248,1374,44,78,,,,,,
233997,233997,UT,20:04:38 05-Sep-2022,Argos,A,63.0719,-5.9596,229,709,74,118,,,,,,
233997,233997,UT,21:16:39 05-Sep-2022,Argos,B,63.1024,-5.9656,823,13863,48,90,,,,,,
233997,233997,UT,21:28:29 05-Sep-2022,Argos,B,63.1039,-5.9663,940,5213,169,90,,,,,,
233997,233997,UT,21:35:25 05-Sep-2022,Argos,B,63.1326,-5.9738,1057,21086,53,99,,,,,,
233997,233997,UT,21:36:46 05-Sep-2022,Argos,B,63.0932,-6.0131,1436,4310,478,94,,,,,,
233997,233997,UT,21:41:48 05-Sep-2022,Argos,B,63.1061,-5.9800,1163,3848,351,99,,,,,,
233997,233997,UT,21:45:26 05-Sep-2022,Argos,A,63.1388,-5.9815,972,19680,48,82,,,,,,
233997,233997,UT,22:54:02 05-Sep-2022,Argos,B,63.1138,-6.0338,1288,30456,54,99,,,,,,
233997,233997,UT,19:28:56 06-Sep-2022,Argos,B,62.9153,-4.7477,35269,279885,4444,33,,,,,,
233997,233997,UT,19:29:27 06-Sep-2022,Argos,A,63.2948,-4.5069,5154,28406,935,96,,,,,,
233997,233997,UT,19:34:55 06-Sep-2022,Argos,B,63.2960,-4.4601,5163,9348,2851,140,,,,,,
233997,233997,UT,19:36:29 06-Sep-2022,Argos,1,63.3214,-4.4943,539,3496,83,81,,,,,,
233997,233997,UT,19:45:37 06-Sep-2022,Argos,B,63.3073,-4.5069,1290,2759,602,88,,,,,,
233997,233997,UT,19:46:36 06-Sep-2022,Argos,0,63.3067,-4.5068,1990,9336,424,107,,,,,,
233997,233997,UT,20:29:58 06-Sep-2022,Argos,B,63.3151,-4.4838,3338,8385,1329,86,,,,,,
233997,233997,UT,21:02:06 06-Sep-2022,Argos,B,63.2954,-4.5559,11188,28954,4322,120,,,,,,
233997,233997,UT,21:05:27 06-Sep-2022,Argos,B,63.3543,-4.5824,826,22674,30,73,,,,,,
233997,233997,UT,21:14:07 06-Sep-2022,Argos,A,63.3759,-4.5767,2840,3675,2195,39,,,,,,
233997,233997,UT,21:17:07 06-Sep-2022,Argos,B,63.3453,-4.6100,475,1146,196,91,,,,,,
233997,233997,UT,21:19:14 06-Sep-2022,Argos,B,63.3471,-4.6071,3499,8428,1452,92,,,,,,
233997,233997,UT,21:20:30 06-Sep-2022,Argos,A,63.3740,-4.5669,243,1511,39,101,,,,,,
233997,233997,UT,22:45:50 06-Sep-2022,Argos,B,63.3866,-4.6507,1273,5198,311,35,,,,,,
